"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_total_stolen_base","r_run","r_stolen_base_pct","woba","bacon","xbacon","xbadiff","xslgdiff","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","hard_hit_percent","meatball_percent","whiff_percent","swing_percent","batted_ball"
"Locastro, Tim","641796","2022","29","43","46","8","5","1","0","2","7","2",15.2,4.3,".186",".349",".239","0.588","4","8","13",,".259",".222",".304","-0.067","-0.067","86.5","11.8",33.3,"2",5.6,2.8,25,10.8,23.9,55.4,"36"
"Mancini III, Trey","641820","2022","30","519","587","124","82","23","1","18","135","53",23,9,".239",".391",".319","0.710","63","0","56",,".312",".319",".332","-0.006","-0.019","89.5","12.7",39.6,"38",9.8,10.3,40.4,7.4,27.4,48.1,"389"
"McKinney, Billy","641856","2022","27","52","57","5","3","1","0","1","16","4",28.1,7,".096",".173",".158","0.331","4","0","3",,".144",".135",".221","-0.059","-0.072","83.8","17.4",29.7,"2",5.4,2.7,21.6,8.2,27.8,42.2,"37"
"McMahon, Ryan","641857","2022","27","529","597","130","84","23","3","20","158","60",26.5,10.1,".246",".414",".327","0.741","67","7","67",,".326",".348",".351","-0.001","-0.009","91.7","10.8",36.4,"39",10.4,6.7,46.5,7.4,28.2,45.2,"374"
"Neuse, Sheldon","641914","2022","27","271","293","58","48","4","2","4","80","20",27.3,6.8,".214",".288",".273","0.561","26","6","25",,".253",".304",".303",".002","-0.003","89.1","1.5",23,"6",3.1,2.6,38.2,8,27.2,50.7,"191"
"O'Neill, Tyler","641933","2022","27","334","383","76","50","11","1","14","103","38",26.9,9.9,".228",".392",".308","0.700","58","14","56",,".307",".319",".345","-0.012","-0.031","89.8","13.6",36.6,"27",11.3,6.7,43.3,7.5,30.9,46.3,"238"
"Palacios, Joshua","641943","2022","26","47","49","10","8","2","0","0","15","1",30.6,2,".213",".255",".245","0.500","2","1","8",,".225",".313",".305",".005",".008","81.3","4.9",28.1,"0",0,3.1,31.3,9.1,26.1,55,"32"
"Robinson, Chuckie","642020","2022","27","59","60","8","4","2","0","2","17","0",28.3,0,".136",".271",".136","0.407","5","0","3",,".173",".190",".319","-0.091","-0.104","86.2","0.5",23.3,"4",9.3,2.3,30.2,4.9,25.4,59.5,"43"
"Smith, Dominic","642086","2022","27","134","152","26","15","10","1","0","37","12",24.3,7.9,".194",".284",".276","0.560","17","0","11",,".254",".263",".297","-0.025","-0.076","89.6","10.9",28.3,"7",7.1,7.1,46.5,8.3,26,45.4,"99"
"Tellez, Rowdy","642133","2022","27","529","599","116","58","23","0","35","121","62",20.2,10.4,".219",".461",".306","0.767","89","2","67",,".327",".282",".328","-0.033","-0.018","91.1","15.3",31.4,"53",12.9,7.3,46,7.1,23.8,43.5,"411"
"Thaiss, Matt","642136","2022","27","69","81","15","12","1","0","2","24","11",29.6,13.6,".217",".319",".321","0.640","8","1","9",,".286",".326",".318",".005","-0.006","88.5","7.5",21.7,"3",6.5,0,37,8,34.2,46.9,"46"
"Thomas, Cody","642137","2022","27","30","32","8","8","0","0","0","12","2",37.5,6.3,".267",".267",".313","0.580","0","0","1",,".264",".444",".374",".043","-0.012","89.5","9.3",33.3,"0",0,11.1,38.9,4.8,48.1,63.2,"18"
"VanMeter, Josh","642165","2022","27","171","192","32","22","5","2","3","45","19",23.4,9.9,".187",".292",".266","0.558","14","4","15",,".251",".250",".302","-0.037","-0.049","88.1","14.3",37.5,"6",4.7,7,33.6,8.7,20.1,36.4,"128"
"Wade, Tyler","642180","2022","27","147","163","32","26","5","0","1","33","10",20.2,6.1,".218",".272",".272","0.544","8","8","22",,".247",".281",".274",".006","-0.006","83.9","11.5",37,"2",1.7,3.4,16,7.2,18.9,47.1,"119"
"White, Eli","642201","2022","28","105","117","21","16","2","0","3","41","11",35,9.4,".200",".305",".274","0.579","10","12","16",,".260",".323",".301",".017",".012","86.4","21.5",30.8,"3",4.6,9.2,29.2,8.3,39.6,46.6,"65"
"Mejía, Francisco","642336","2022","26","289","299","70","42","22","0","6","65","7",21.7,2.3,".242",".381",".264","0.645","31","0","32",,".279",".311",".312",".000",".052","86.8","15.7",39.1,"6",2.7,5.8,28,6.5,23.4,61.2,"225"
"Siri, Jose","642350","2022","26","301","325","64","42","13","2","7","108","20",33.2,6.2,".213",".339",".268","0.607","24","14","53",,".268",".330",".321",".006",".016","87.2","15.4",35.1,"12",6.2,5.2,33,7.4,35.9,51.7,"194"
"Sierra, Magneuris","642423","2022","26","91","96","15","11","1","3","0","25","4",26,4.2,".165",".242",".200","0.442","5","6","7",,".195",".227",".271","-0.032",".008","82.2","7.2",22.4,"0",0,1.5,16.4,9.2,24.2,54.9,"67"
"Barrera, Luis","642456","2022","26","77","85","18","12","5","0","1","17","6",20,7.1,".234",".338",".294","0.632","7","3","3",,".280",".295",".264",".026",".034","87.1","5.1",32.8,"2",3.3,9.8,32.8,9.5,19.6,48.4,"61"
"Rosario, Amed","642708","2022","26","637","670","180","134","26","9","11","111","25",16.6,3.7,".283",".403",".312","0.715","71","18","86",,".311",".340",".335",".007",".007","88.4","5",31.1,"24",4.5,5.5,38.3,7.4,21,53.1,"530"
"Adames, Willy","642715","2022","26","563","617","134","72","31","0","31","166","49",26.9,7.9,".238",".458",".298","0.756","98","8","83",,".325",".334",".335",".000",".007","88.9","18.9",36.4,"52",13,6.5,43.6,7.3,28.2,49.6,"401"
"Gutiérrez, Kelvin","642721","2022","27","28","33","4","3","1","0","0","8","4",24.2,12.1,".143",".179",".250","0.429","3","1","2",,".208",".200",".283","-0.056","-0.152","89.6","5.9",25,"1",5,15,35,6,31,43.6,"20"
"Alcántara, Sergio","642727","2022","25","205","224","45","30","8","1","6","57","12",25.4,5.4,".220",".356",".261","0.617","29","1","26",,".269",".296",".285",".011",".065","86.6","13.5",32.5,"3",1.9,3.9,32.5,7.2,23.8,42.8,"154"
"Estrada, Thairo","642731","2022","26","488","541","127","89","22","2","14","89","33",16.5,6.1,".260",".400",".322","0.722","62","21","71",,".317",".314",".301",".014",".048","86.2","8.1",31.6,"18",4.4,4.7,31.1,6.5,19.7,49.2,"405"
"Wynns, Austin","642851","2022","31","162","177","42","32","7","0","3","38","10",21.5,5.6,".259",".358",".313","0.671","21","0","14",,".298",".336",".289",".036",".040","84.1","10.4",31.7,"5",4,4,27,6.4,22.9,43.5,"126"
"Benintendi, Andrew","643217","2022","27","461","521","140","109","23","3","5","77","52",14.8,10,".304",".399",".373","0.772","51","8","54",,".342",".360",".326",".031","-0.008","89.2","12.6",39.2,"20",5.1,6.2,38.7,8,20.7,48.2,"390"
"Cooper, Garrett","643265","2022","31","414","469","108","64","33","2","9","119","40",25.4,8.5,".261",".415",".337","0.752","50","0","37",,".330",".360",".362",".001","-0.021","89.6","8.8",39,"32",10.7,8.3,43.7,7,25.1,45.2,"300"
"Dubón, Mauricio","643289","2022","27","243","265","52","38","9","0","5","30","13",11.3,4.9,".214",".313",".252","0.565","24","2","31",,".248",".239",".272","-0.026","-0.018","84.7","16.7",28.1,"5",2.3,5.9,29.9,7.5,15.2,55.6,"221"
"Hamilton, Caleb","643348","2022","27","18","23","1","0","0","0","1","14","4",60.9,17.4,".056",".222",".227","0.449","1","0","5",,".219",".250",".307","-0.012",".006","95.7","2.3",40,"1",20,0,60,9.2,49,46.8,"5"
"Jansen, Danny","643376","2022","27","215","248","56","31","10","0","15","44","25",17.7,10.1,".260",".516",".339","0.855","44","1","34",,".364",".318",".323","-0.001",".005","90.4","22.2",34.7,"23",13.1,6.3,46.6,8.6,21.8,45.3,"176"
"Kemp, Tony","643393","2022","30","497","558","117","84","24","2","7","69","45",12.4,8.1,".235",".334",".307","0.641","46","11","61",,".287",".271",".254",".016",".043","84.4","15",33.9,"7",1.6,4.1,14.9,8.4,13.1,48.9,"436"
"Kiner-Falefa, Isiah","643396","2022","27","483","531","126","102","20","0","4","72","35",13.6,6.6,".261",".327",".314","0.641","48","22","66",,".285",".303",".306","-0.001","-0.006","86.2","4.3",29.6,"5",1.2,4.3,30.1,8.9,11.2,44.7,"419"
"McNeil, Jeff","643446","2022","30","533","589","174","125","39","1","9","61","40",10.4,6.8,".326",".454",".382","0.836","62","4","73",,".365",".365",".314",".046",".065","86.9","12.8",39,"13",2.7,5.2,30.2,7.3,15.9,53.8,"477"
"Schwindel, Frank","643524","2022","30","271","292","62","43","11","0","8","58","19",19.9,6.5,".229",".358",".277","0.635","36","0","23",,".278",".288",".294","-0.001",".007","88.1","10.2",31.6,"10",4.7,7.9,35.5,7.4,26.5,54.7,"215"
"Chang, Yu","644374","2022","26","168","190","35","25","6","0","4","59","16",31.1,8.4,".208",".315",".289","0.604","15","0","19",,".273",".315",".323","-0.005","-0.042","88.8","14.3",35.1,"10",9,5.4,36.9,8,29.3,47.5,"111"
"Albies, Ozzie","645277","2022","25","247","269","61","37","16","0","8","47","16",17.5,5.9,".247",".409",".294","0.703","35","3","36",,".305",".299",".290",".011",".026","87.1","16.9",34.8,"11",5.4,6.9,26.5,6.2,22.9,58.2,"204"
"Robles, Victor","645302","2022","25","366","407","82","64","10","2","6","104","17",25.6,4.2,".224",".311",".273","0.584","33","15","42",,".260",".308",".284",".021",".031","84.6","15.8",29.2,"9",3.2,3.2,23.8,8.8,27.2,53.8,"277"
"Herrera, Jose","645444","2022","25","111","124","21","19","2","0","0","34","9",27.4,7.3,".189",".207",".250","0.457","5","0","9",,".213",".273",".218",".037",".027","84.7","3",23.5,"0",0,0,11.1,8.2,23.5,42.1,"81"
"Ford, Mike","645801","2022","29","131","149","27","19","5","0","3","40","17",26.8,11.4,".206",".313",".302","0.615","10","0","9",,".280",".297",".305","-0.006",".009","88.7","18.1",37.4,"3",3.3,7.7,33,6.7,21.9,35.2,"91"
"Devers, Rafael","646240","2022","25","555","614","164","94","42","1","27","114","50",18.6,8.1,".295",".521",".358","0.879","88","3","84",,".373",".369",".355",".013",".024","93.1","11.3",33.1,"51",11.5,7.7,50.9,7.4,28.1,54.6,"444"
"Naylor, Josh","647304","2022","25","449","498","115","67","28","0","20","80","38",16.1,7.6,".256",".452",".319","0.771","79","6","47",,".331",".307",".312","-0.001",".022","89.4","10.3",28.9,"32",8.6,6.4,42.8,6.8,19.5,51,"374"
"Toro, Abraham","647351","2022","25","324","352","60","36","13","1","10","65","22",18.5,6.3,".185",".324",".239","0.563","35","2","36",,".246",".228",".280","-0.041","-0.048","87","16.7",31.2,"18",6.8,4.6,29.7,6.4,21.6,47.3,"263"
"Díaz, Aledmys","649557","2022","31","305","327","74","49","13","0","12","53","18",16.2,5.5,".243",".403",".287","0.690","38","1","35",,".301",".291",".315","-0.018",".007","86.6","12.4",30.3,"16",6.3,5.9,36.8,7.5,22.7,52.4,"254"
"Urías, Luis","649966","2022","25","406","472","97","63","17","1","16","99","50",21,10.6,".239",".404",".335","0.739","47","1","54",,".327",".311",".311",".001",".006","87.3","18",34.3,"26",8.3,5.4,35.3,7.8,22.2,43.2,"312"
"Díaz, Lewin","650331","2022","25","160","174","27","18","4","0","5","54","11",31,6.3,".169",".287",".224","0.511","11","1","12",,".228",".250",".248",".002",".025","88.3","15.6",29.6,"6",5.6,4.6,28.7,7,27.2,46.2,"108"
"Arraez, Luis","650333","2022","25","547","603","173","133","31","1","8","43","50",7.1,8.3,".316",".420",".375","0.795","49","4","88",,".350",".341",".311",".028",".012","88.9","12.9",38.7,"18",3.6,5.7,30.2,6.8,7.1,42.9,"507"
"Palacios, Jermaine","650339","2022","25","70","77","10","8","0","0","2","27","4",35.1,5.2,".143",".229",".184","0.413","6","0","8",,".184",".222",".299","-0.048","-0.084","87.5","4.5",34.8,"3",6.5,2.2,39.1,9.6,35,58.4,"46"
"Jiménez, Eloy","650391","2022","25","292","327","86","58","12","0","16","72","28",22,8.6,".295",".500",".358","0.858","54","0","40",,".370",".384",".350",".029","-0.012","92.8","7.4",31.7,"33",14.7,8.5,54.9,7,30.3,49.8,"224"
"Torres, Gleyber","650402","2022","25","526","572","135","82","28","1","24","129","39",22.6,6.8,".257",".451",".310","0.761","76","10","73",,".328",".338",".321",".013",".010","90.4","17.5",36.2,"43",10.7,8.5,45.3,7.4,27.1,49.6,"401"
"Castro, Willi","650489","2022","25","365","392","88","60","18","2","8","82","15",20.9,3.8,".241",".367",".284","0.651","31","9","47",,".285",".308",".335","-0.020",".028","84.8","13.9",35.5,"10",3.5,4.2,31.4,7.2,28.4,58.2,"287"
"Díaz, Yandy","650490","2022","30","473","558","140","98","33","0","9","60","78",10.8,14,".296",".423",".401","0.824","57","3","71",,".366",".338",".329",".008","-0.001","92.2","7.7",30.7,"20",4.8,8.9,49,8.2,14.3,41.3,"414"
"De La Cruz, Bryan","650559","2022","25","329","355","83","50","20","0","13","90","19",25.4,5.4,".252",".432",".294","0.726","43","4","38",,".313",".342",".390","-0.035","-0.066","90.8","9.8",43.6,"29",11.9,6.2,47.3,5.7,28.7,49.2,"243"
"Viloria, Meibrys","650619","2022","25","63","75","10","7","1","0","2","29","11",38.7,14.7,".159",".270",".280","0.550","5","0","10",,".256",".286",".260",".017",".023","88.4","5.6",31.4,"3",8.6,11.4,37.1,8.4,38.5,37.5,"35"
"Rengifo, Luis","650859","2022","25","489","511","129","86","22","4","17","79","17",15.5,3.3,".264",".429",".294","0.723","52","6","45",,".314",".315",".303",".010",".037","86.9","9.9",31.1,"22",5.4,4.9,33.6,7.2,21.5,55.7,"411"
"Pinto, René","650907","2022","25","80","83","17","12","3","0","2","35","2",42.2,2.4,".212",".325",".241","0.566","10","0","5",,".249",".378",".332",".025",".047","89.1","12.6",20,"2",4.4,6.7,42.2,8.9,36.8,56,"45"
"Pérez, Carlos","656024","2022","25","18","18","4","2","2","0","0","2","0",11.1,0,".222",".333",".222","0.555","2","0","0",,".238",".250",".261","-0.010",".035","82.4","15.4",25,"0",0,6.3,12.5,11.8,22,53.9,"16"
"Adams, Riley","656180","2022","26","142","155","25","16","4","0","5","46","12",29.7,7.7,".176",".310",".245","0.555","10","0","14",,".249",".260",".292","-0.021","-0.040","90.2","13.5",25,"9",9.4,9.4,45.8,6,30.1,45.6,"96"
"Allen, Greg","656185","2022","29","118","134","22","16","4","0","2","42","10",31.3,7.5,".186",".271",".260","0.531","8","8","17",,".242",".286",".271",".010",".025","87.6","8.5",25,"2",2.5,5,32.5,6.6,30.2,46.1,"80"
"Bouchard, Sean","656248","2022","26","74","97","22","13","6","0","3","25","21",25.8,21.6,".297",".500",".454","0.954","11","0","9",,".417",".440",".376",".053",".151","89.8","15.3",44,"1",2,8,40,8.9,27.8,37.8,"50"
"Bradley, Bobby","656252","2022","26","17","17","2","2","0","0","0","9","0",52.9,0,".118",".118",".118","0.236","0","0","1",,".104",".250",".313","-0.029","-0.067","87.5","2.7",25,"0",0,12.5,50,10.9,48.6,54.7,"8"
"Chapman, Matt","656305","2022","29","538","621","123","68","27","1","27","170","68",27.4,11,".229",".433",".324","0.757","76","2","83",,".331",".330",".342","-0.005","-0.007","92.2","19",34,"48",12.9,8.8,51.2,7.9,28.7,41.7,"373"
"Chavis, Michael","656308","2022","26","401","426","92","59","16","3","14","126","19",29.6,4.5,".229",".389",".265","0.654","49","1","39",,".282",".330",".315",".012",".053","85.4","11.1",33,"21",7.5,6.1,38.7,7.4,30.8,57.7,"279"
"Dunand, Joe","656388","2022","26","10","11","3","1","1","0","1","3","0",27.3,0,".300",".700",".364","1.064","1","0","2",,".449",".429",".187",".169",".468","85.9","40.1",28.6,"0",0,14.3,28.6,2.1,26.1,48.9,"7"
"Ellis, Drew","656403","2022","26","16","17","3","2","1","0","0","7","1",41.2,5.9,".188",".250",".235","0.485","1","0","2",,".219",".333",".316",".010",".022","88.4","9.4",44.4,"0",0,11.1,33.3,7.5,24.3,46.3,"9"
"Fairchild, Stuart","656413","2022","26","97","110","24","14","4","1","5","34","8",30.9,7.3,".247",".464",".336","0.800","6","0","14",,".350",".381",".341",".026",".068","88.9","13.3",31.7,"6",9.5,7.9,41.3,8.7,35.8,48.2,"63"
"Garrett, Stone","656448","2022","26","76","84","21","9","8","0","4","27","3",32.1,3.6,".276",".539",".309","0.848","10","3","13",,".360",".420",".309",".078",".170","92.9","22.8",28,"5",10,8,52,5.8,35,56.7,"50"
"Guthrie, Dalton","656495","2022","26","21","28","7","6","0","0","1","7","6",25,21.4,".333",".476",".500","0.976","5","1","3",,".437",".500",".355",".096",".132","76.8","8.1",50,"1",7.1,0,14.3,4.2,32.7,40.8,"14"
"Harrison, Monte","656509","2022","26","11","14","2","1","0","0","1","8","2",57.1,14.3,".182",".455",".357","0.812","3","1","5",,".361",".667",".442",".061",".183","103","8.7",0,"1",33.3,0,100,8.2,60,41,"3"
"Haseley, Adam","656514","2022","26","21","25","5","5","0","0","0","7","3",28,12,".238",".238",".333","0.571","2","0","4",,".270",".357",".328",".019","-0.016","84","-14.7",13.3,"0",0,0,33.3,6.5,27.1,52.2,"15"
"Hill, Derek","656537","2022","26","83","92","19","16","2","0","1","28","5",30.4,5.4,".229",".289",".270","0.559","3","3","8",,".249",".339",".297",".036",".047","85.2","6.6",33.9,"2",3.4,3.4,30.5,5.7,30.8,50.9,"59"
"Hilliard, Sam","656541","2022","28","174","200","32","23","6","1","2","57","23",28.5,11.5,".184",".264",".280","0.544","14","5","26",,".251",".269",".323","-0.032","-0.097","92","13.4",27.7,"11",9.2,9.2,48.7,6.2,34.8,43.9,"119"
"Hoskins, Rhys","656555","2022","29","589","672","145","80","33","2","30","169","72",25.1,10.7,".246",".462",".332","0.794","79","2","81",,".345",".342",".333",".007",".017","90.1","18.1",37.3,"47",11.1,5.9,44.3,6.9,25.7,41.9,"424"
"Jackson, Alex","656577","2022","26","12","12","3","3","0","0","0","7","0",58.3,0,".250",".250",".250","0.500","0","0","0",,".221",".600",".440",".067",".040","79.7","17",40,"0",0,0,0,5,46.2,65,"5"
"Joe, Connor","656582","2022","29","404","467","96","65","20","4","7","97","55",20.8,11.8,".238",".359",".338","0.697","28","6","56",,".314",".312",".317","-0.003",".019","85.3","10.6",35.1,"14",4.5,3.9,33.8,8,21.2,40.4,"308"
"Kolozsvary, Mark","656627","2022","26","20","21","4","1","2","0","1","9","1",42.9,4.8,".200",".450",".238","0.688","3","0","3",,".294",".364",".350",".008",".146","88.3","-1.8",45.5,"1",9.1,0,45.5,13,20,39,"11"
"Luplow, Jordan","656669","2022","28","205","234","36","20","5","0","11","60","25",25.6,10.7,".176",".361",".274","0.635","28","5","26",,".281",".247",".278","-0.022",".010","87.2","17.7",24,"11",7.5,4.8,32.9,6.8,29.9,47.9,"146"
"Matijevic, J.J.","656695","2022","26","67","71","14","10","2","0","2","25","2",35.2,2.8,".209",".328",".254","0.582","5","1","7",,".258",".333",".339","-0.004",".003","88.8","8.9",33.3,"1",2.4,7.1,42.9,7.3,36.6,51.8,"42"
"McKinstry, Zach","656716","2022","27","166","185","33","19","6","3","5","52","16",28.1,8.6,".199",".361",".273","0.634","14","7","21",,".280",".289",".333","-0.030",".019","86.4","12.9",41.4,"5",4.3,6,30.2,8.6,21.1,46.6,"116"
"Mullins II, Cedric","656775","2022","27","608","672","157","105","32","4","16","126","47",18.8,7,".258",".403",".318","0.721","64","34","89",,".315",".322",".293",".026",".054","88.8","17.4",29.3,"24",4.9,5.9,37.3,8.7,22.2,51.3,"488"
"O'Hearn, Ryan","656811","2022","28","134","145","32","24","6","1","1","35","8",24.1,5.5,".239",".321",".290","0.611","16","0","14",,".272",".320",".367","-0.032","-0.104","92.1","13.4",38,"7",7,11,48,9.5,24.1,49.4,"100"
"Padlo, Kevin","656821","2022","25","33","34","4","3","1","0","0","10","1",29.4,2.9,".121",".152",".147","0.299","3","0","0",,".135",".174",".229","-0.039","-0.054","90.8","16.4",21.7,"0",0,8.7,43.5,4.5,33.3,52.3,"23"
"Rivera, Emmanuel","656896","2022","26","330","359","77","46","16","3","12","83","23",23.1,6.4,".233",".409",".292","0.701","40","1","46",,".306",".310",".316","-0.005","-0.001","90.4","9.8",32.3,"23",9.3,6,38.3,7.6,25.8,50.1,"248"
"Schwarber, Kyle","656941","2022","29","577","669","126","56","21","3","46","200","86",29.9,12.9,".218",".504",".323","0.827","94","10","100",,".355",".332",".365","-0.019","-0.031","93.3","19.2",35.4,"76",20.1,8.7,54.4,6.3,29,40.6,"379"
"Smith, Pavin","656976","2022","26","245","277","54","36","9","0","9","67","28",24.2,10.1,".220",".367",".300","0.667","33","1","24",,".294",".298",".298",".004","-0.012","87.9","15.2",28.7,"18",9.9,3.3,35.9,6.9,21.7,39.5,"181"
"Thomas, Lane","657041","2022","26","498","548","120","75","26","2","17","132","41",24.1,7.5,".241",".404",".301","0.705","52","8","62",,".308",".323",".302",".019",".047","86.4","12.5",32.6,"24",6.5,5.7,34.5,7.6,21.1,44.1,"371"
"Tucker, Cole","657061","2022","25","63","63","11","9","1","1","0","25","0",39.7,0,".175",".222",".175","0.397","2","1","3",,".172",".289",".304","-0.008","-0.053","82.4","4.8",39.5,"3",7.9,5.3,23.7,8.3,28.1,46,"38"
"Verdugo, Alex","657077","2022","26","593","644","166","115","39","1","11","86","42",13.4,6.5,".280",".405",".328","0.733","74","1","75",,".319",".324",".323",".002","-0.023","89.1","8.4",37.8,"31",6,7.6,38.2,7.7,15.5,45.3,"513"
"Wong, Connor","657136","2022","26","48","56","9","5","3","0","1","16","5",28.6,8.9,".188",".313",".273","0.586","7","0","8",,".263",".273",".262",".008","-0.049","89.8","5.1",20.6,"4",11.8,2.9,32.4,7.2,30.6,48.9,"34"
"Alvarez, Eddy","657193","2022","32","25","27","4","4","0","0","0","9","0",33.3,0,".160",".160",".154","0.314","3","1","1",,".136",".235",".288","-0.031","-0.060","88","10.3",22.2,"0",0,0,27.8,12.1,29.1,55.6,"18"
"DeJong, Paul","657557","2022","28","210","237","33","18","9","0","6","79","21",33.3,8.9,".157",".286",".245","0.531","25","3","19",,".241",".248",".287","-0.025","-0.041","87.6","21.7",25.6,"13",9.8,5.3,37.6,6.4,35.2,48.8,"133"
"Laureano, Ramón","657656","2022","27","346","383","73","42","18","0","13","104","25",27.2,6.5,".211",".376",".287","0.663","34","11","49",,".294",".302",".313","-0.008","-0.026","88.7","14.9",28.9,"28",11.6,4.1,38.4,8.4,30.3,46.4,"242"
"Papierski, Michael","657709","2022","26","91","103","13","11","1","0","1","26","10",25.2,9.7,".143",".187",".228","0.415","4","0","7",,".197",".200",".240","-0.028","-0.017","77.4","12.2",28.4,"0",0,3,9,10.5,19.1,43.5,"67"
"Sheets, Gavin","657757","2022","26","377","410","91","57","19","0","15","86","27",21,6.6,".241",".411",".295","0.706","53","0","34",,".308",".310",".290",".017",".052","88.6","14.8",32.3,"19",6.5,6.1,36.1,6.5,21.9,47.7,"294"
"Olivares, Edward","658668","2022","26","161","174","46","34","8","0","4","36","10",20.7,5.7,".286",".410",".333","0.743","15","2","24",,".326",".365",".373","-0.002","-0.023","89.2","6.6",34.9,"8",6.3,5.6,38.9,5.5,24.9,51.2,"126"
"Moncada, Yoán","660162","2022","27","397","433","84","53","18","1","12","114","32",26.3,7.4,".212",".353",".273","0.626","51","2","41",,".275",".296",".309","-0.008","-0.022","88.7","15.7",35.1,"28",9.8,6.3,37.5,7.8,27.8,47.1,"285"
"Ohtani, Shohei","660271","2022","27","586","666","160","90","30","6","34","161","72",24.2,10.8,".273",".519",".356","0.875","95","11","90",,".370",".374",".377","-0.002","-0.030","92.9","12.1",35,"72",16.8,5.6,49.8,6.8,28.1,49.3,"428"
"Tsutsugo, Yoshi","660294","2022","30","170","193","29","23","4","0","2","50","19",25.9,9.8,".171",".229",".249","0.478","19","0","11",,".221",".234",".274","-0.026","-0.056","88.8","10.1",32.3,"7",5.6,3.2,36.3,7.2,21.9,44,"124"
"Araúz, Jonathan","660620","2022","23","38","41","5","4","0","0","1","12","1",29.3,2.4,".132",".211",".150","0.361","5","0","3",,".157",".185",".362","-0.123","-0.174","87.4","12.1",50,"2",7.1,3.6,35.7,8.8,25.4,44.4,"28"
"Hernández, Yonny","660634","2022","24","24","28","2","2","0","0","0","4","2",14.3,7.1,".083",".083",".154","0.237","0","2","2",,".121",".100",".204","-0.087","-0.118","82.3","-12.5",22.7,"0",0,4.5,13.6,6,11.1,46.2,"22"
"Castillo, Diego","660636","2022","24","262","283","54","30","13","0","11","75","14",26.5,4.9,".206",".382",".251","0.633","29","1","28",,".272",".283",".315","-0.018","-0.007","89.1","14.6",37.7,"19",9.9,8.4,38.7,8.4,26.7,43.7,"191"
"Bruján, Vidal","660644","2022","24","147","162","24","16","5","0","3","37","12",22.8,7.4,".163",".259",".228","0.487","16","5","13",,".220",".214",".251","-0.023",".007","86.1","14.2",30.4,"3",2.7,2.7,27.7,7.7,20.7,50.5,"112"
"Garcia, Dérmis","660650","2022","24","116","125","24","13","6","0","5","55","8",44,6.4,".207",".388",".264","0.652","20","0","13",,".285",".393",".318",".040",".064","86.5","12.2",27.9,"8",13.1,1.6,42.6,6.7,44.5,51.2,"61"
"Acuña Jr., Ronald","660670","2022","24","467","533","124","85","24","0","15","126","53",23.6,9.9,".266",".413",".351","0.764","50","29","71",,".335",".360",".371","-0.006","-0.071","91.2","10.8",32.8,"44",12.8,6.1,49.7,7.7,24.9,47.9,"344"
"Ruiz, Keibert","660688","2022","23","394","433","99","70","22","0","7","50","30",11.5,6.9,".251",".360",".313","0.673","36","6","33",,".299",".286",".317","-0.026","-0.043","88","14.9",36.3,"13",3.7,7.5,32.3,7.2,14.9,50.9,"347"
"Montero, Elehuris","660707","2022","23","176","185","41","19","15","1","6","60","8",32.4,4.3,".233",".432",".270","0.702","20","0","21",,".303",".353",".323",".020",".094","89.8","13.2",34.5,"10",8.6,6.9,39.7,9.5,35.5,52.2,"116"
"Gonzalez, Oscar","660757","2022","24","362","382","107","69","27","0","11","75","15",19.6,3.9,".296",".461",".327","0.788","43","1","39",,".339",".370",".352",".017",".039","88.6","5.4",32.5,"21",7.3,4.8,40.1,6.6,26.7,59.3,"289"
"Yepez, Juan","660766","2022","24","253","274","64","39","13","0","12","61","16",22.3,5.8,".253",".447",".296","0.743","30","0","27",,".319",".327",".281",".037",".053","86.5","17.1",33.2,"18",9.2,5.6,33.7,8.2,26.1,54.5,"196"
"Sánchez, Jesús","660821","2022","24","313","343","67","37","14","3","13","92","26",26.8,7.6,".214",".403",".280","0.683","36","1","38",,".298",".302",".318","-0.012",".020","89.5","11",25.7,"22",9.9,3.2,40.5,7.6,29.6,47.8,"222"
"Park, Hoy","660829","2022","26","51","60","11","7","2","0","2","15","4",25,6.7,".216",".373",".276","0.649","6","1","7",,".282",".289",".280",".008",".029","85.1","10.3",20,"4",10,0,25,6.8,20.7,38.8,"40"
"Contreras, William","661388","2022","24","334","376","93","58","14","1","20","104","39",27.7,10.4,".278",".506",".354","0.860","45","2","51",,".370",".401",".352",".035",".027","90.4","6.1",31.9,"31",13.4,4.7,46.6,6.1,34.3,44.6,"232"
"Serven, Brian","661531","2022","27","187","205","38","27","4","1","6","44","13",21.5,6.3,".203",".332",".261","0.593","16","0","19",,".263",".264",".277","-0.009",".041","84.5","12.5",32.9,"4",2.7,4.1,29.5,6.2,27.2,54.5,"146"
"Varsho, Daulton","662139","2022","25","531","592","125","72","23","3","27","145","46",24.5,7.8,".235",".443",".302","0.745","74","16","79",,".323",".320",".294",".022",".054","87.7","14.9",33.6,"40",10.2,8.4,35.6,6.9,25.2,50.6,"393"
