"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_total_stolen_base","r_run","r_stolen_base_pct","woba","bacon","xbacon","xbadiff","xslgdiff","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","hard_hit_percent","meatball_percent","whiff_percent","swing_percent","batted_ball"
"Renfroe, Hunter","592669","2022","30","474","522","121","68","23","1","29","121","39",23.2,7.5,".255",".492",".315","0.807","72","1","62",,".347",".340",".321",".015",".054","90.5","17.7",32.7,"39",10.9,6.4,43.6,7,27,47.8,"358"
"Rosario, Eddie","592696","2022","30","250","270","53","35","12","1","5","68","17",25.2,6.3,".212",".328",".259","0.587","24","3","27",,".258",".286",".271",".012",".010","87.7","15.2",32.4,"10",5.4,5.9,33,7,31.9,53.5,"185"
"Simmons, Andrelton","592743","2022","32","75","85","13","12","1","0","0","13","7",15.3,8.2,".173",".187",".244","0.431","7","4","8",,".204",".210",".192",".015","-0.002","81.4","1.1",20,"0",0,1.5,10.8,9.4,17.8,49,"65"
"Yelich, Christian","592885","2022","30","575","671","145","102","25","4","14","162","88",24.1,13.1,".252",".383",".355","0.738","57","19","99",,".328",".349",".358","-0.006","-0.021","91.5","3.6",30.3,"34",8.2,6.7,48.6,7,25,43.2,"416"
"Merrifield, Whit","593160","2022","33","504","550","126","86","28","1","11","85","38",15.5,6.9,".250",".375",".298","0.673","58","16","70",,".294",".295",".288",".010",".019","87.1","15.1",37.9,"18",4.2,7.3,31.1,8.4,19.4,50.9,"427"
"Bogaerts, Xander","593428","2022","29","557","631","171","118","38","0","15","118","57",18.7,9,".307",".456",".377","0.833","73","8","84",,".363",".383",".328",".048",".073","88.1","10.2",30.3,"29",6.5,4.9,39.5,7.5,24.8,45.7,"446"
"Alberto, Hanser","593643","2022","29","156","159","38","25","9","2","2","25","3",15.7,1.9,".244",".365",".258","0.623","15","0","13",,".270",".290",".257",".028",".061","82.9","10.8",30.5,"2",1.5,6.9,18.3,5.8,25.5,61.6,"131"
"Polanco, Jorge","593871","2022","28","375","445","88","56","16","0","16","95","64",21.3,14.4,".235",".405",".346","0.751","56","3","54",,".333",".310",".334","-0.013","-0.046","89","21.7",37.7,"29",10.2,6.3,38.7,6.1,25.6,42.4,"284"
"Sanó, Miguel","593934","2022","29","60","71","5","4","0","0","1","25","9",35.2,12.7,".083",".133",".211","0.344","3","1","1",,".176",".139",".301","-0.084","-0.203","93.9","30",30.6,"5",13.9,8.3,52.8,5.5,37.2,39.6,"36"
"Calhoun, Kole","594777","2022","34","388","424","76","49","14","1","12","136","27",32.1,6.4,".196",".330",".257","0.587","49","3","36",,".260",".298",".343","-0.027","-0.052","90.8","15.4",40.4,"25",9.8,8.6,48.2,7,36.3,53.1,"255"
"Duvall, Adam","594807","2022","33","287","315","61","32","16","1","12","101","21",32.1,6.7,".213",".401",".276","0.677","36","0","39",,".295",".324",".320",".004",".006","88.3","23.4",36.2,"24",12.8,7.4,41,7.4,29.2,50.5,"188"
"Gosselin, Phil","594838","2022","33","74","77","11","10","0","1","0","24","2",31.2,2.6,".149",".176",".182","0.358","2","0","6",,".163",".220",".262","-0.028","-0.078","86.4","15",30,"1",2,4,36,7.7,27.1,46.5,"50"
"Kiermaier, Kevin","595281","2022","32","206","221","47","32","8","0","7","61","14",27.6,6.3,".228",".369",".281","0.650","22","6","28",,".286",".324",".355","-0.022","-0.019","87.9","5.3",33.8,"10",6.9,4.8,38.6,7.1,31.9,51.7,"145"
"Knapp, Andrew","595284","2022","30","39","46","5","4","1","0","0","12","5",26.1,10.9,".128",".154",".239","0.393","4","0","4",,".195",".179",".267","-0.057","-0.093","86.3","17.2",32.1,"0",0,10.7,25,6.3,28.1,50.6,"28"
"Wallach, Chad","595453","2022","30","35","40","5","3","1","0","1","9","4",22.5,10,".143",".257",".231","0.488","4","0","3",,".224",".192",".328","-0.100","-0.181","87","17.7",40.7,"2",7.4,7.4,37,7.1,30,47.6,"27"
"Alfaro, Jorge","595751","2022","29","256","274","63","42","14","0","7","98","11",35.8,4,".246",".383",".285","0.668","40","1","25",,".291",".391",".381",".008","-0.014","89.4","8",38.5,"18",11.2,4.3,38.5,6.3,38,62.6,"161"
"Profar, Jurickson","595777","2022","29","575","658","140","87","36","2","15","103","73",15.7,11.1,".243",".391",".331","0.722","58","5","82",,".320",".295",".306","-0.008",".032","87.5","12.9",34.7,"19",4,4.6,34.3,6.3,18.7,43.6,"478"
"Báez, Javier","595879","2022","29","555","590","132","84","27","4","17","147","26",24.9,4.4,".238",".393",".278","0.671","67","9","64",,".291",".321",".307",".012",".019","87.9","9.6",29.7,"33",8,4.9,38,6.6,35.8,55.8,"411"
"Cave, Jake","595909","2022","29","164","177","35","20","7","3","5","49","11",27.7,6.2,".213",".384",".260","0.644","20","2","17",,".278",".299",".301",".000","-0.011","90.7","14.4",38.5,"12",10.3,9.4,42.7,7.5,35,50.7,"117"
