"last_name, first_name","player_id","year","pa","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","r_total_stolen_base","b_swinging_strike","r_run","r_stolen_base_pct","xba","xslg","woba","xwoba","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","batted_ball"
"Contreras, Willson","575929","2022","487","101","54","23","2","22",21.1,9.2,".243",".466",".349","0.815","4","251","65",,".256",".463",".357",".364",".362","90.4","8.5",30.2,"33",10.5,48.6,"103.238284065","96.034015696",30.9,50.6,"315"
"Sánchez, Gary","596142","2022","471","86","46","24","0","16",28.9,8.5,".205",".377",".282","0.659","2","218","42",,".220",".439",".290",".321",".298","90.5","14",29.2,"39",13.5,49.3,"103.200555347","96.181078537",30.8,44,"288"
"Betts, Mookie","605141","2022","639","154","76","40","3","35",16.3,8.6,".269",".533",".340","0.873","12","154","117",,".254",".465",".373",".344",".327","90.5","18.6",36.2,"46",9.7,44.9,"99.954466043","94.497072751",16.5,44.2,"472"
"Clement, Ernie","676391","2022","179","30","26","4","0","0",14.5,6.1,".184",".209",".243","0.452","0","39","19",,".235",".328",".209",".277",".290","85","11.8",27.1,"5",3.6,25.7,"94.798252206","91.426475368",16,49.6,"140"
"Garcia, Dérmis","660650","2022","125","24","13","6","0","5",44,6.4,".207",".388",".264","0.652","0","115","13",,".167",".324",".285",".244",".227","86.5","12.2",27.9,"8",13.1,42.6,"100.773491613","94.52853623",44.5,51.2,"61"
"Casali, Curt","592200","2022","176","30","21","4","0","5",28.4,13.6,".203",".331",".318","0.649","0","93","20",,".189",".325",".295",".289",".309","87.1","25.4",35,"6",6,39,"98.0141006","93.131572828",27.1,47.6,"100"
"Smith, Kevin","675656","2022","151","25","13","9","1","2",27.8,4.6,".180",".302",".216","0.518","4","77","9",,".186",".319",".226",".236",".223","87","16.4",32.4,"8",7.8,33.3,"98.087369388","93.05239898",30.1,53,"102"
"Anderson, Tim","641313","2022","351","100","81","13","0","6",15.7,4,".301",".395",".339","0.734","13","126","50",,".297",".432",".323",".336",".335","88.2","3.3",37.5,"16",5.8,41.2,"98.957560507","93.5528044",23.2,57.9,"277"
"La Stella, Tommy","600303","2022","195","43","27","14","0","2",15.4,5.6,".239",".350",".282","0.632","0","43","17",,".232",".329",".277",".267",".276","87.9","14.6",37.3,"3",2,32,"97.045650909","92.615035294",16.7,40.7,"153"
"Rendon, Anthony","543685","2022","193","38","23","10","0","5",18.1,11.9,".229",".380",".326","0.706","2","51","15",,".241",".392",".314",".331",".343","89.6","18.7",42.1,"11",8.3,37.6,"99.082562576","93.890380153",19.6,42.3,"133"
